latitude,longitude,display_name,language_code,primary_type
38.3526321,-0.476134,Hospital Vithas Alicante,es,hospital
38.348537400000005,-0.4889342,Centro Médico Adeslas,en,hospital
38.345476,-0.4892217,Javier Lledó,es,hospital
38.3556108,-0.4718066999999999,Centro Creciendo Alicante,es,hospital
38.34729,-0.485612,Centro Médico Asisa Alicante,es,hospital
38.3393411,-0.4926222,Centro Médico MAPFRE Salud,es,hospital
38.3413088,-0.494331,Mutua Universal Alicante,es,hospital
38.3462615,-0.4934718,Centro Médico Transit - Renovar Carnet Conducir,en,hospital
38.34825,-0.49047999999999997,Criton Salut,ca,hospital
38.346432199999995,-0.4927063,Centro Médico Alacant,es,hospital
38.3409638,-0.49344819999999995,"Clinicas Ume – Centro de Psicología, Logopedia y Fisioterapia en Alicante Centro",es,hospital
38.342079999999996,-0.490556,Germain Clinic,es,hospital
38.345045299999995,-0.49077210000000004,LABORATORIO BIOCLINICO OCHANDO MAZON SL,es,hospital
38.3439172,-0.4875796,Centro decsalud gerona,es,hospital
38.344170999999996,-0.48906689999999997,Hedonai Alicante - Depilación Láser - Medicina Estética,es,hospital
38.345684,-0.481341,Unidad de Conductas Adictivas de Alicante Santa Faz-Ayuuntamiento,es,hospital
38.3463259,-0.4887109,Clínica de Medicina Estética y Bienestar en Longevity by Dra.Eva Garrigós,es,hospital
38.3461571,-0.4885527,Clínica Rubio,es,hospital
38.34426870000001,-0.48704429999999993,conselleria de sanitat,en,hospital
38.3455432,-0.48516709999999996,Ayuntamiento de Alicante. Servicio de Prevención de Riesgos y Medicina Laboral,es,hospital
