latitude,longitude,display_name,language_code,primary_type
37.3812322,-6.007955099999999,Quirónsalud Infanta Luisa Hospital,en,hospital
37.384535299999996,-5.9813076999999994,Milenium Medical Center Buhaira,en,hospital
37.3879391,-5.9809391,Centro Médico MAPFRE Salud,es,hospital
37.3879835,-5.9997297000000005,Centro Médico Arenal,es,hospital
37.380919999999996,-6.008532,Centro Médico Quirónsalud Condes de Bustillo,es,hospital
37.3796299,-5.9995404,Centro Médico Sanitas Sevilla,es,hospital
37.3891572,-5.9999236,MC MUTUAL,es,hospital
37.3810783,-6.007504,Centro Médico Quirónsalud Espartinas,es,hospital
37.3980612,-5.9944484,Alameda Medical Center,en,hospital
37.3773001,-5.9968563,Umivale Activa Sevilla,es,hospital
37.385371,-5.9841109999999995,Umivale Activa Sevilla (Clínica Maz),es,hospital
37.394401099999996,-5.9832716999999995,Centro de Especialidades Maria Auxiliadora,es,hospital
37.3898994,-5.9814292,Urological Center San Ignacio,en,hospital
37.387619099999995,-5.981444,Centro Médico Abril,es,hospital
37.378448899999995,-5.997893299999999,DKV Seguros,en,hospital
37.3770242,-5.9992395,Instituto Digestivo (IDI),es,hospital
37.395820199999996,-5.9955902,Clínica Aranzazu,es,hospital
37.388249,-5.9839405999999995,Clinica Viamar,en,hospital
37.385084899999995,-5.989751099999999,Chiclana,es,hospital
37.3846847,-5.9979038,Centro Médico Colón15 Sevilla,es,hospital
